"R1","R2","R3","P1","P2","P3","P4","P5","TYPE","A1","B1","C1","F1","G1","A2","B2","C2","F2","G2","A3","B3","C3","F3","G3","FC","REFS","COMMENTS","TIMESTAMP"
"CH2NH","H",,"CH3NH",,,,,"assocMD","4.000E-29","-1.510E+00","7.290E+01","0.300E+01","0.100E+03","6.070E-13","5.310E+00","-1.740E+02","0.300E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with H + C2H4","2022-08-24 10:47:06"
"CH3NH","CH3",,"CH3NHCH3",,,,,"assocMD","4.000E-24","-4.470E+00","9.500E+01","4.200E+01","0.100E+02","8.800E-11","-0.610E+00","3.480E+01","0.300E+01","0.000E+00","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with CH3 + C2H5","2022-08-24 10:47:06"
"CH2CN","H",,"CH3CN",,,,,"assocMD","1.100E-25","-1.800E+00","0.000E+00","1.000E+01","0.000E+00","2.000E-10","0.000E+00","0.000E+00","3.000E+00","0.000E+00","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 from our semi empirical model Hébrard et al. [2013] / k_inf by comparison with H + C2H5 (Hanning-Lee & Pilling [1992] - Harding & Klippenstein [1998])","2022-08-24 10:47:06"
"CH2CN","CH3",,"C2H5CN",,,,,"assocMD","2.000E-23","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","6.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 from our semi empirical model Hébrard et al. [2013] - k_inf from CH3 + CH3 ","2022-08-24 10:47:06"
"CH2CN","C2H3",,"SOOTN",,,,,"assocMD","6.000E-20","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","8.000E-11","0.000E+00","0.000E+00","2.000E+00","0.000E+00","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 from our semi empirical model Hébrard et al. [2013] / k_inf from capture rate theory","2022-08-24 10:47:06"
"C3N","H",,"HC3N",,,,,"assocMD","1.860E-25","-1.800E+00","0.000E+00","1.000E+01","0.000E+00","2.000E-10","0.000E+00","0.000E+00","3.000E+00","0.000E+00","4.500E-14","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 from our semi empirical model Hébrard et al. [2013] / k_inf from capture rate theory","2022-08-24 10:47:06"
"HC3N","H",,"H2C3N",,,,,"assocMD","6.000E-28","-2.930E+00","1.760E+02","0.300E+02","0.000E+00","0.110E-11","0.000E+00","0.500E+03","0.140E+01","0.140E+02","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 from preliminary DFT/RRKM calculations (this work) - k_inf from Parker et al. [2004] ","2022-08-24 10:47:06"
"C2H3CN","H",,"C2H4CN",,,,,"assocMD","4.000E-28","-1.510E+00","7.290E+01","1.000E+02","0.000E+00","6.070E-13","5.310E+00","-1.740E+02","4.000E+00","0.000E+00","5.600E-13","2.750E+00","5.030E+01","3.000E+01","0.000E+00","0.6",,"k0 = 10*k0(H + C2H4) Vuitton et al. [2012] - k-inf = kinf(H+C2H4) Vuitton et al [2012] ","2022-08-24 10:47:06"
"C2H4CN","CH3",,"C3H7CN",,,,,"assocMD","1.000E-19","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","3.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00","6.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00","0.6",,"By comparison with CH3 + C3H7","2022-08-24 10:47:06"
"HC4N","H",,"CH2C3N",,,,,"assocMD","1.600E-22","-1.800E+00","0.000E+00","1.000E+01","0.000E+00","2.000E-10","0.000E+00","0.000E+00","3.000E+00","0.000E+00","6.000E-12","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 from our semi empirical model Hébrard et al. [2013] / k_inf from capture rate theory","2022-08-24 10:47:06"
"CH2C3N","H",,"CH3C3N",,,,,"assocMD","1.000E-21","-1.800E+00","0.000E+00","3.000E+01","0.000E+00","1.000E-10","0.000E+00","0.000E+00","4.000E+00","0.000E+00","1.000E-11","-1.500E+00","0.000E+00","1.000E+02","0.000E+00","0.6",,"k0 from our semi empirical model Hébrard et al. [2013] / k_inf from capture rate theory","2022-08-24 10:47:06"
"CH2C3N","CH3",,"C2H5C3N",,,,,"assocMD","6.000E-20","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","6.000E-11","0.000E+00","0.000E+00","2.000E+00","0.000E+00","6.000E-11","0.000E+00","0.000E+00","2.000E+00","0.000E+00","0.6",,"k0 from our semi empirical model Hébrard et al. [2013] / k_inf from capture rate theory","2022-08-24 10:47:06"
"CH3C3N","H",,"H4C4N",,,,,"assocMD","3.000E-26","-2.930E+00","1.760E+02","0.100E+02","0.000E+00","0.110E-11","0.000E+00","0.500E+03","0.100E+02","0.000E+00","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with H + HC3N","2022-08-24 10:47:06"
"H4C4N","CH3",,"C4H7CN",,,,,"assocMD","1.100E-22","-1.500E+00","0.000E+00","1.000E+01","0.000E+00","7.000E-11","-0.540E+00","-1.170E+02","1.600E+00","2.100E+01","3.400E-11","-1.500E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with CH3 + C3H5","2022-08-24 10:47:06"
