REACTANTS;TYPE; ALPHA;BETA;GAMMA ; NBR;STRINGBR; REF_ALPHA;REF_BETA;REF_GAMMA;REF_BR ; COMMENTS;TIMESTAMP
"C2H4+ + N4S";"kooij";"Logn(3e-10,1.4)";"Delta(0)";"Delta(0)";1;"CH3CN+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H4+ + NH3";"kooij";"Logn(2.06e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.06<NH3+ + C2H4>,0.94<NH4+ + C2H3>;0.06,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H5+ + C2H2";"kooij";"Logn(1.9e-10,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.36<cC3H3+ + CH4>,0.64<C4H5+ + H2>;0.12,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + C2H4";"kooij";"Logn(3.55e-10,1.15)";"Delta(0)";"Delta(0)";1;"C3H5+ + CH4";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + C2H6";"kooij";"Logn(3.9e-11,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.14<C3H7+ + CH4>,0.86<C4H9+ + H2>;0.05,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + C2N2";"kooij";"Logn(8e-11,1.5)";"Delta(0)";"Delta(0)";1;"C2HN2+ + C2H4";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + C3H8";"kooij";"Logn(6.3e-10,1.15)";"Delta(0)";"Delta(0)";1;"C3H7+ + C2H6";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + CH2NH";"kooij";"Logn(2.7e-09,1.5)";"Delta(0)";"Delta(0)";1;"CH2NH2+ + C2H4";"Vuitton2007";"NA";"NA";"Vuitton2007";"NA";2022-08-19 09:23:57
"C2H5+ + CH3C2H";"kooij";"Logn(1.4e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.90<C3H5+ + C2H4>,0.10<C4H5+ + CH4>;0.09,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + CH3CN";"kooij";"Logn(3.8e-09,1.2)";"Delta(0)";"Delta(0)";1;"CH3CNH+ + C2H4";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + CH3NH2";"kooij";"Logn(1.8e-09,1.6)";"Delta(0)";"Delta(0)";1;"CxHyNz+ + Products";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H5+ + CH4";"kooij";"Logn(9e-14,1.15)";"Delta(0)";"Delta(0)";1;"C3H7+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + E";"dr";"Logn(8.35e-7,1.3)";"Nort(1.2,1.2,0.5,1.5)";"Delta(0)";7;"Dirg(0.12<C2H4 + H>,0.27<C2H3 + H + H>,0.13<C2H2 + H + H + H>,0.30<C2H2 + H2 + H>,0.17*Diri(1<CH3 + 1CH2>,1<CH3 + 3CH2>;1),0.01<CH4 + CH>;0.03,0.04,0.03,0.03,0.01,0.01)";"Florescu2006;Lehfaoui1997;Gougousi1997;McLain2004";"Florescu2006;Lehfaoui1997;Gougousi1997;McLain2004";"NA";"Geppert2004c";"NA";2022-08-19 09:23:57
"C2H5+ + H";"kooij";"Logn(1e-11,1.3)";"Delta(0)";"Delta(0)";1;"C2H4+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + H2CO";"kooij";"Logn(3.1e-09,1.25)";"Delta(0)";"Delta(0)";1;"CH2OH+ + C2H4";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"C2H5+ + H2O";"kooij";"Logn(1.86e-09,1.65)";"Delta(0)";"Delta(0)";1;"H3O+ + C2H4";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + HC3N";"kooij";"Logn(3.55e-09,1.2)";"Delta(0)";"Delta(0)";1;"HC3NH+ + C2H4";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + HCN";"kooij";"Logn(2.7e-09,1.2)";"Delta(0)";"Delta(0)";1;"HCNH+ + C2H4";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H5+ + NH3";"kooij";"Logn(2.09e-09,1.1)";"Delta(0)";"Delta(0)";1;"NH4+ + C2H4";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H5CN+ + C6H6";"kooij";"Logn(1.3e-09,1.6)";"Delta(0)";"Delta(0)";1;"Products";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H5CN+ + E";"dr";"Logu(3e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"Products";"NA";"NA";"NA";"NA";"Default data: auto generated";2022-08-19 09:23:57
"C2H5CNH+ + E";"dr";"Logn(1.5e-6,1.15)";"Norm(0.76,0.02)";"Delta(0)";1;"Products";"Vigren2010";"Vigren2010";"NA";"Vigren2010;Plessis2010";"BR to be done: need thermochemistry of fragments";2022-08-19 09:23:57
"C2H5N+ + E";"dr";"Logn(3e-07,2)";"Delta(5e-01)";"Delta(0)";2;"Diri(1<C2H3NH + H>,1<H2CN + CH3>;1)";"Quan2016";"Quan2016";"NA";"Quan2016";"NA";2022-08-19 09:23:57
"C2H5O2+ + E";"dr";"Logn(3e-07,2)";"Delta(5e-01)";"Delta(0)";2;"Diri(1<CH3OH + HCO>,1<CH3COOH + H>;1)";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"C2H5OH2+ + E";"dr";"Logn(4.5e-07,2)";"Delta(5.0e-01)";"Delta(0)";3;"Dirg(0.333<C2H4 + H2O + H>,0.333<CH3CHO + H2 + H>,0.333<C2H5OH + H>;0.1,0.1,0.1)";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"C2H6+ + C2H2";"kooij";"Logn(1.3e-09,1.1)";"Delta(0)";"Delta(0)";3;"Dirg(0.19<C2H5+ + C2H3>,0.70<C3H5+ + CH3>,0.11<C4H7+ + H>;0.08,0.07,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H6+ + C2H4";"kooij";"Logn(1.15e-09,1.1)";"Delta(0)";"Delta(0)";1;"C2H4+ + C2H6";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H6+ + C2H6";"kooij";"Logn(1.9e-11,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.42<C3H8+ + CH4>,0.58<C3H9+ + CH3>;0.06,0.06)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H6+ + E";"dr";"Logu(5e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"Products";"Plessis2010";"Plessis2010";"NA";"NA";"Thermochimie des produits?";2022-08-19 09:23:57
"C2H6+ + H";"kooij";"Logn(1e-10,1.2)";"Delta(0)";"Delta(0)";1;"C2H5+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H6+ + H2O";"kooij";"Logn(2.95e-09,1.1)";"Delta(0)";"Delta(0)";1;"H3O+ + C2H5";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H6+ + HCN";"kooij";"Logn(1.2e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.95<HCNH+ + C2H5>,0.05<C2H5CNH+ + H>;0.10,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H6+ + NH3";"kooij";"Logn(2.23e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.28<NH3+ + C2H6>,0.72<NH4+ + C2H5>;0.09,0.07)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H7+ + E";"dr";"Logu(5e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"Products";"Plessis2010";"Plessis2010";"NA";"NA";"Thermochimie des produits?";2022-08-19 09:23:57
"C2H7+ + HCN";"kooij";"Logn(2.2e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.90<HCNH+ + C2H6>,0.10<CH3CNH+ + CH4>;0.09,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H7+ + NH3";"kooij";"Logn(2e-09,1.2)";"Delta(0)";"Delta(0)";1;"NH4+ + C2H6";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2HN2+ + C2H2";"kooij";"Logn(4.8e-10,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.15<C2H3+ + C2N2>,0.85<C4H3N2+ + HV>;0.05,0.09)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2HN2+ + C2H4";"kooij";"Logn(8e-10,1.15)";"Delta(0)";"Delta(0)";1;"C2H5+ + C2N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2HN2+ + E";"dr";"Logu(3e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"Products";"NA";"NA";"NA";"NA";"Default data: auto generated";2022-08-19 09:23:57
"C2HN2+ + H2O";"kooij";"Logn(5.1e-10,1.3)";"Delta(0)";"Delta(0)";1;"H3O+ + C2N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2N2+ + C2H2";"kooij";"Logn(2e-10,1.15)";"Delta(0)";"Delta(0)";3;"Dirg(0.50<C2H2+ + C2N2>,0.35<C4HN2+ + H>,0.15<C4N2+ + H2>;0.05,0.12,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2N2+ + C4H2";"kooij";"Logn(1.2e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.90<C4H2+ + C2N2>,0.10<HC5N+ + HCN>;0.09,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2N2+ + E";"dr";"Logu(0.5e-6,3.0e-06)";"Unif(0.5,1.5e+00)";"Delta(0)";1;"CN + CN";"Plessis2010";"Plessis2010";"NA";"Jacox2007";"NA";2022-08-19 09:23:57
"C2N2+ + H";"kooij";"Logn(6.2e-10,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.80<HNC+ + CN>,0.20<C2H+ + N2>;0.08,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2N2+ + H2";"kooij";"Logn(9e-10,1.2)";"Delta(0)";"Delta(0)";1;"C2HN2+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2N2+ + H2O";"kooij";"Logn(2.6e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.09<H2O+ + C2N2>,0.91<C2HN2+ + OH>;0.09,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2N2+ + HC3N";"kooij";"Logn(1.6e-09,1.3)";"Delta(0)";"Delta(0)";1;"HC3N+ + C2N2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2N2+ + HCN";"kooij";"Logn(2.7e-09,1.25)";"Delta(0)";"Delta(0)";3;"Dirg(0.20<HCN+ + C2N2>,0.75<C2HN2+ + CN>,0.05<C3HN3+ + HV>;0.07,0.08,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3+ + C2H2";"kooij";"Logn(1.7e-09,1.3)";"Delta(0)";"Delta(0)";1;"C5H+ + H";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3+ + C2H4";"kooij";"Logn(9e-10,1.3)";"Delta(0)";"Delta(0)";4;"Dirg(0.15<C5H3+ + H>,0.26<C5H2+ + H2>,0.15<C3H2+ + C2H2>,0.44<C2H4+ + C3>;0.05,0.09,0.05,0.15)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3+ + CH4";"kooij";"Logn(9.5e-10,1.3)";"Delta(0)";"Delta(0)";3;"Dirg(0.25<C3H+ + CH3>,0.37<C4H3+ + H>,0.38<C4H2+ + H2>;0.08,0.12,0.13)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3+ + E";"dr";"Logu(5e-7,3e-6)";"Unif(0.5,1.5)";"Delta(0)";3;"Dirg(0.001<C3>,1.000<1C2 + C>,0.001<C + C + C>;0.001,0.002,0.001)";"Plessis2010";"Plessis2010";"NA";"Adams2006;Heber2006";"NA";2022-08-19 09:23:57
"C3+ + H2";"kooij";"Logn(2.4e-10,1.25)";"Delta(0)";"Delta(0)";1;"C3H+ + H";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3+ + HC3N";"kooij";"Logn(3.2e-09,1.2)";"Delta(0)";"Delta(0)";1;"C5H+ + CN";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3+ + HCN";"kooij";"Logn(1.3e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.20<C3H+ + CN>,0.80<C4N+ + H>;0.07,0.08)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3+ + N4S";"kooij";"Logn(2.3e-10,1.4)";"Delta(0)";"Delta(0)";1;"C3N+ + HV";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H+ + C2H2";"kooij";"Logn(8.4e-10,1.5)";"Delta(0)";"Delta(0)";1;"C5H2+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + C2H4";"kooij";"Logn(9.5e-10,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.95<cC3H3+ + C2H2>,0.05<C5H3+ + H2>;0.10,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + C2N2";"kooij";"Logn(4.4e-10,1.6)";"Delta(0)";"Delta(0)";1;"C5HN2+ + HV";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + C3H8";"kooij";"Logn(1.6e-09,1.4)";"Delta(0)";"Delta(0)";1;"CxHy+ + CxHy";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H+ + C4H2";"kooij";"Logn(0.1200E-08,1.3)";"Delta(0)";"Delta(0)";4;"Dirg(0.85<C5H2+ + C2H>,0.10<C5H+ + C2H2>,0.05*Diri(1<C4H2+ + cC3H>,1<C4H2+ + lC3H>;1);0.09,0.10,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H+ + CH2CCH2";"kooij";"Logn(1.4e-09,1.2)";"Delta(0)";"Delta(0)";1;"C4H3+ + C2H2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H+ + CH3C2H";"kooij";"Logn(1.4e-09,1.4)";"Delta(0)";"Delta(0)";1;"C4H3+ + C2H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + CH3CN";"kooij";"Logn(3e-09,1.3)";"Delta(0)";"Delta(0)";4;"Dirg(0.20<C2H3+ + HC3N>,0.15<CH3CNH+ + C3>,0.35<HC3NH+ + C2H2>,0.30<C5H4N+ + HV>;0.07,0.05,0.12,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + CH4";"kooij";"Logn(8.7e-10,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.90<C2H3+ + C2H2>,0.10<C4H3+ + H2>;0.09,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + E";"dr";"Logu(5e-7,3e-6)";"Unif(0.5,1.5)";"Delta(0)";3;"Dirg(0.661<C3 + H>,0.338<C2H + C>,0.001<1C2 + CH>;0.015,0.017,0.01)";"Plessis2010";"Plessis2010";"NA";"Florescu2006;Angelova2004";"NA";2022-08-19 09:23:57
"C3H+ + H2";"kooij";"Logn(2.6e-11,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.20<C3H2+ + H>,0.80<cC3H3+ + HV>;0.07,0.08)";"Vuitton2007";"NA";"NA";"Vuitton2007";"NA";2022-08-19 09:23:57
"C3H+ + H2O";"kooij";"Logn(9e-10,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.50<C2H3+ + CO>,0.50<HCO+ + C2H2>;0.05,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + HC3N";"kooij";"Logn(1.25e-09,1.2)";"Delta(0)";"Delta(0)";1;"C6H2N+ + HV";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + HCN";"kooij";"Logn(4e-11,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.09<HCNH+ + C3>,0.91<C4H2N+ + HV>;0.09,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + N4S";"kooij";"Logn(2.7e-10,1.4)";"Delta(0)";"Delta(0)";2;"Dirg(0.90<C3N+ + H>,0.10<HC3N+ + HV>;0.09,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H+ + NH3";"kooij";"Logn(1.65e-9,1.3)";"Delta(0)";"Delta(0)";5;"Dirg(0.20*Diri(1<NH3+ + cC3H>,1<NH3+ + lC3H>;1),0.45<NH4+ + C3>,0.25<HCNH+ + C2H2>,0.10<CH2CHCN+ + H>;0.07,0.15,0.08,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H2+ + C2H2";"kooij";"Logn(1.1e-09,1.2)";"Delta(0)";"Delta(0)";1;"C5H3+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H2+ + C2H4";"kooij";"Logn(1.1e-09,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.20<cC3H3+ + C2H3>,0.60<C3H4+ + C2H2>,0.20<C5H5+ + H>;0.07,0.06,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H2+ + C3H8";"kooij";"Logn(1.2e-09,1.2)";"Delta(0)";"Delta(0)";5;"Dirg(0.30<cC3H3+ + C3H7>,0.45<C3H7+ + C3H3>,0.10<C4H6+ + C2H4>,0.05<C4H8+ + C2H2>,0.10<C5H7+ + CH3>;0.10,0.15,0.10,0.05,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H2+ + CH2CCH2";"kooij";"Logn(1.3e-09,1.2)";"Delta(0)";"Delta(0)";5;"Dirg(0.05<C4H2+ + C2H4>,0.14<C4H3+ + C2H3>,0.50<C4H4+ + C2H2>,0.10<C5H3+ + CH3>,0.21<C6H5+ + H>;0.05,0.05,0.05,0.10,0.07)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H2+ + CH3C2H";"kooij";"Logn(1.3e-09,1.2)";"Delta(0)";"Delta(0)";5;"Dirg(0.09<C4H2+ + C2H4>,0.12<C4H3+ + C2H3>,0.41<C4H4+ + C2H2>,0.18<C5H3+ + CH3>,0.20<C6H5+ + H>;0.09,0.04,0.14,0.06,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H2+ + CH4";"kooij";"Logn(5.5e-10,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.85<cC3H3+ + CH3>,0.15<C4H5+ + H>;0.09,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H2+ + E";"dr";"Logu(5e-7,3e-6)";"Unif(0.5,1.5)";"Delta(0)";7;"Dirg(0.875*Diri(1*Dior(1<C3 + H + H>,2<C3 + H2>),1*Diri(1<cC3H + H>,1<lC3H + H>;1);1),0.125*Diri(1<C2H2 + C>,1<1C2 + 1CH2>,1<3C2 + 3CH2>;1);0.02,0.02)";"Plessis2010";"Plessis2010";"NA";"Plessis2010;Florescu2006;Angelova2004;Mitchell2005;physto";"NA";2022-08-19 09:23:57
"C3H2+ + HCN";"kooij";"Logn(1.6e-10,1.2)";"Delta(0)";"Delta(0)";1;"CxHyNz+";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H2+ + N4S";"kooij";"Logn(4.4e-11,1.4)";"Delta(0)";"Delta(0)";2;"Dirg(0.85<C2H2+ + CN>,0.15<HCNH+ + 1C2>;0.09,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H2+ + NH3";"kooij";"Logn(0.2300E-08,1.2)";"Delta(0)";"Delta(0)";6;"Dirg(0.20*Diri(1<NH4+ + cC3H>,1<NH4+ + lC3H>;1),0.10*Diri(1<CH2NH+ + C2H2>,1<C2H5+ + CN>;1),0.60<CH2CHCNH+ + H>,0.10<C2H5CN+ + HV>;0.07,0.10,0.20,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H2N2H+ + E";"dr";"Logu(3e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"Products";"NA";"NA";"NA";"NA";"Default data: auto generated";2022-08-19 09:23:57
"C3H2O+ + E";"dr";"Logn(8e-07,3)";"Delta(7e-01)";"Delta(0)";4;"Dirg(0.25<CO + C2H2>,0.125<C3O + H + H>,0.125<HC3O + H>,0.50<CO + C2H + H>;0.1,0.1,0.1,0.1)";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"C3H3O+ + E";"dr";"Logu(3e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"Products";"NA";"NA";"NA";"NA";"No data: auto generated";2022-08-19 09:23:57
"C3H4+ + C2H2";"kooij";"Logn(4.2e-10,1.2)";"Delta(0)";"Delta(0)";1;"C5H5+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H4+ + C2H4";"kooij";"Logn(8.3e-10,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.11<C4H5+ + CH3>,0.89<C5H7+ + H>;0.10,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H4+ + C3H8";"kooij";"Logn(1.2e-10,1.2)";"Delta(0)";"Delta(0)";1;"CxHy+ + Products";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H4+ + C4H2";"kooij";"Logn(1.8e-09,1.5)";"Delta(0)";"Delta(0)";2;"Dirg(0.07<C5H4+ + C2H2>,0.93<C7H5+ + H>;0.07,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H4+ + CH2CCH2";"kooij";"Logn(1.1e-09,1.2)";"Delta(0)";"Delta(0)";5;"Dirg(0.04<C4H4+ + C2H4>,0.01<C4H6+ + C2H2>,0.01<C5H5+ + CH3>,0.07<C6H5+ + H2 + H>,0.87<C6H7+ + H>;0.04,0.01,0.01,0.07,0.09)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H4+ + CH3C2H";"kooij";"Logn(1.1e-09,1.2)";"Delta(0)";"Delta(0)";6;"Dirg(0.18<C3H5+ + C3H3>,0.02<C4H4+ + C2H4>,0.02<C4H6+ + C2H2>,0.02<C5H5+ + CH3>,0.08<C6H5+ + H2 + H>,0.68<C6H7+ + H>;0.06,0.02,0.02,0.02,0.08,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H4+ + E";"dr";"Logn(2.95e-6,1.04)";"Norm(0.67,0.02)";"Delta(0)";7;"Dirg(0.88<C3H3 + H>,0.04*Dior(2<cC3H2 + H2>,1<cC3H2 + H + H>),0.01<C2H3 + CH>,0.06*Diri(1<C2H2 + 1CH2>,1<C2H2 + 3CH2>;1),0.01<C2H + CH3>;0.04,0.01,0.01,0.01,0.01)";"Geppert2004";"Geppert2004";"NA";"Plessis2010;Florescu2006;Angelova2004;Mitchell2005;Geppert2004";"NA";2022-08-19 09:23:57
"C3H4+ + H";"kooij";"Logn(3e-11,1.6)";"Delta(0)";"Delta(0)";1;"cC3H3+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"Isomérie ???";2022-08-19 09:23:57
"C3H4+ + HC3N";"kooij";"Logn(1.8e-10,1.3)";"Delta(0)";"Delta(0)";1;"HC3NH+ + C3H3";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H4+ + NH3";"kooij";"Logn(1.5e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.14<NH3+ + CH3C2H>,0.86<NH4+ + C3H3>;0.05,0.09)";"Vuitton2007";"NA";"NA";"Vuitton2007";"NA";2022-08-19 09:23:57
"C3H4NO+ + E";"dr";"Logu(3e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"Products";"NA";"NA";"NA";"NA";"Default data: auto generated";2022-08-19 09:23:57
"C3H5+ + C2H2";"kooij";"Logn(3.8e-10,1.15)";"Delta(0)";"Delta(0)";1;"C5H5+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H5+ + C2H4";"kooij";"Logn(1.7e-10,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.70<C5H7+ + H2>,0.30<C5H9+ + HV>;0.07,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H5+ + C3H6";"kooij";"Logn(1e-09,1.3)";"Delta(0)";"Delta(0)";1;"C4H7+ + C2H4";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H5+ + C3H8";"kooij";"Logn(4.7e-10,1.3)";"Delta(0)";"Delta(0)";3;"Dirg(0.83<C3H7+ + C3H6>,0.06<C4H7+ + C2H6>,0.11<C4H9+ + C2H4>;0.09,0.06,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H5+ + C4H2";"kooij";"Logn(1.5e-10,1.3)";"Delta(0)";"Delta(0)";1;"C5H5+ + C2H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C3H5+ + C6H6";"kooij";"Logn(1.15e-09,1.5)";"Delta(0)";"Delta(0)";2;"Dirg(0.91<C7H7+ + C2H4>,0.10<C6H7+ + CH3C2H>;0.09,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C3H5+ + CH2NH";"kooij";"Logn(1.38e-09,1.58)";"Delta(0)";"Delta(0)";2;"Diri(1<CH2NH2+ + CH3C2H>,1<CH2NH2+ + CH2CCH2>;1)";"NA";"NA";"NA";"NA";"NA";2022-08-19 09:23:57
