REACTANTS;TYPE; ALPHA;BETA;GAMMA ; NBR;STRINGBR; REF_ALPHA;REF_BETA;REF_GAMMA;REF_BR ; COMMENTS;TIMESTAMP
"N3P+ + CH2CHCN";"kooij";"Logn(1e-9,2)";"Delta(0)";"Delta(0)";6;"Dirg(0.35<CH2CHCN+ + N4S>,0.15<HC3NH+ + NH>,0.25*Diri(1<CHCN+ + H2CN>,1<cC3H3+ + N2>;1),0.25*Diri(1<CN+ + CH3CN>,1<C2H2+ + N2 + CH>;1);0.12,0.05,0.08,0.08)";"NA";"NA";"NA";"McEwan2007";"Rate estimated + corrected invalid product in orig. ref (CH2N2 --> H2CN)";2022-08-19 09:23:57
"N3P+ + CH3CN";"kooij";"Logn(1e-9,2)";"Delta(0)";"Delta(0)";4;"Dirg(0.50<CH3CN+ + N4S>,0.30<CHCNH+ + NH>,0.20*Diri(1<C2H2+ + N2 + H>,1<CN+ + CH2NH>;1);0.05,0.10,0.07)";"NA";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N3P+ + CH3NH2";"kooij";"Logn(2.56e-09,1.15)";"Delta(0.00e+00)";"Delta(0)";5;"Dirg(0.07<CH3+ + NH2 + N4S>,0.18<HCNH+ + H2 + H + N4S>,0.07<CH2NH+ + H2 + N4S>,0.62<CH2NH2+ + H + N4S>,0.06<CH3NH2+ + N4S>;0.05,0.05,0.05,0.05,0.05)";"Jackson2005";"NA";"NA";"Jackson2005";"NA";2022-08-19 09:23:57
"N3P+ + CH4";"kooij";"Logn(1.15e-09,1.2)";"Delta(0.00e+00)";"Delta(0)";4;"Dirg(0.50<CH3+ + NH>,0.05<CH4+ + N4S>,0.35<HCNH+ + H2>,0.10<HCN+ + H2 + H>;0.05,0.05,0.12,0.03)";"Dutuit2013";"NA";"NA";"Dutuit2013";"NA";2022-08-19 09:23:57
"N3P+ + CO";"kooij";"Logn(5.6e-10,1.25)";"Delta(0.0e+00)";"Delta(0)";3;"Dirg(0.01<C+ + NO>,0.88<CO+ + N4S>,0.11<NO+ + C>;0.01,0.09,0.04)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N3P+ + CO2";"kooij";"Logn(1.12e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.18<CO+ + NO>,0.82<CO2+ + N4S>;0.05,0.05)";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"N3P+ + E";"dr";"Logn(3.5e-12,1.2)";"Nort(7.0e-01,0.2,0.5,1.5)";"Delta(0)";1;"N4S + HV";"Dutuit2013";"Dutuit2013";"NA";"NA";"NA";2022-08-19 09:23:57
"N3P+ + H2";"kooij";"Logn(3.8e-10,1.2)";"Delta(0.0e+00)";"Delta(0)";1;"NH+ + H";"Dutuit2013";"NA";"NA";"Dutuit2013";"NA";2022-08-19 09:23:57
"N3P+ + H2O";"kooij";"Logn(2.7e-09,1.2)";"Delta(0.0e+00)";"Delta(0)";1;"H2O+ + N4S";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N3P+ + HC3N";"kooij";"Logn(4.2e-09,1.2)";"Delta(0.0e+00)";"Delta(0)";2;"Dirg(0.38<C3H+ + N2>,0.62<HC3N+ + N4S>;0.13,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N3P+ + HCN";"kooij";"Logn(3.7e-09,1.2)";"Delta(0.0e+00)";"Delta(0)";2;"Dirg(0.65<HCN+ + N4S>,0.35<CH+ + N2>;0.07,0.12)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N3P+ + NH3";"kooij";"Logn(2.35e-09,1.2)";"Delta(0.00e+00)";"Delta(0)";3;"Dirg(0.20<NH2+ + NH>,0.71<NH3+ + N4S>,0.09<N2H+ + H2>;0.07,0.07,0.09)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"NCO+ + E";"dr";"Logu(3e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"Products";"NA";"NA";"NA";"NA";"Default data: auto generated";2022-08-19 09:23:57
"NH+ + C2H4";"kooij";"Logn(1.5e-09,1.2)";"Delta(0)";"Delta(0)";6;"Dirg(0.10<C2H2+ + NH3>,0.25<C2H3+ + NH2>,0.25<C2H4+ + NH>,0.20<HCNH+ + CH3>,0.10<CH2NH+ + 1CH2>,0.10<CH3CN+ + H2>;0.03,0.08,0.08,0.07,0.03,0.03)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"NH+ + CH3C2H";"kooij";"Delta(9.1e-10)";"Delta(0)";"Delta(0)";8;"Mlgn(0.12<CH2NH+ + C2H2>,0.10<CH2NH2+ + C2H>,0.35*Diri(1<cC3H3+ + NH2>,1<CHCN+ + CH4>;1),0.29*Diri(1<C3H4+ + NH>,1<CHCNH+ + CH3>;1),0.14*Diri(1<C3H5+ + N4S>,1<CH2CNH+ + 3CH2>;1);1.2,1.2,1.2,1.2,1.2)";"Operti2004;Vuitton2007";"NA";"NA";"Operti2004;Vuitton2007";"The rates of the channels seem to have been measured independently: the global rate is fixed and the BR are taken here as independent, with the 20% uncertainty of the partial rates. Check products CHCNH+, CH2CNH+ ???";2022-08-19 09:23:57
