 Lambda  Total   SO/O     S/O2     SO2band  SO2+    
 1874.0 5.62E-18 2.81E-18 2.81E-18 0.00E+00 0.00E+00
 1875.0 4.42E-18 2.21E-18 2.21E-18 0.00E+00 0.00E+00
 1876.0 5.98E-18 2.99E-18 2.99E-18 0.00E+00 0.00E+00
 1877.0 5.17E-18 2.59E-18 2.59E-18 0.00E+00 0.00E+00
 1878.0 5.71E-18 2.85E-18 2.85E-18 0.00E+00 0.00E+00
 1879.0 5.06E-18 2.53E-18 2.53E-18 0.00E+00 0.00E+00
 1880.0 5.27E-18 2.63E-18 2.63E-18 0.00E+00 0.00E+00
 1881.0 4.18E-18 2.09E-18 2.09E-18 0.00E+00 0.00E+00
 1882.0 3.10E-18 1.55E-18 1.55E-18 0.00E+00 0.00E+00
 1883.0 4.78E-18 2.39E-18 2.39E-18 0.00E+00 0.00E+00
 1884.0 4.74E-18 2.37E-18 2.37E-18 0.00E+00 0.00E+00
 1885.0 3.40E-18 1.70E-18 1.70E-18 0.00E+00 0.00E+00
 1886.0 2.60E-18 1.30E-18 1.30E-18 0.00E+00 0.00E+00
 1887.0 7.03E-18 3.52E-18 3.52E-18 0.00E+00 0.00E+00
 1888.0 7.31E-18 3.66E-18 3.66E-18 0.00E+00 0.00E+00
 1889.0 7.13E-18 3.56E-18 3.56E-18 0.00E+00 0.00E+00
 1890.0 6.10E-18 3.05E-18 3.05E-18 0.00E+00 0.00E+00
 1891.0 5.98E-18 2.99E-18 2.99E-18 0.00E+00 0.00E+00
 1892.0 5.81E-18 2.90E-18 2.90E-18 0.00E+00 0.00E+00
 1893.0 5.89E-18 2.95E-18 2.95E-18 0.00E+00 0.00E+00
 1894.0 5.41E-18 2.70E-18 2.70E-18 0.00E+00 0.00E+00
 1895.0 4.64E-18 2.32E-18 2.32E-18 0.00E+00 0.00E+00
 1896.0 3.36E-18 1.68E-18 1.68E-18 0.00E+00 0.00E+00
 1897.0 2.25E-18 1.12E-18 1.12E-18 0.00E+00 0.00E+00
 1898.0 4.77E-18 2.39E-18 2.39E-18 0.00E+00 0.00E+00
 1899.0 8.78E-18 4.39E-18 4.39E-18 0.00E+00 0.00E+00
 1900.0 6.29E-18 3.14E-18 3.14E-18 0.00E+00 0.00E+00
 1901.0 4.80E-18 2.40E-18 2.40E-18 0.00E+00 0.00E+00
 1902.0 5.92E-18 2.96E-18 2.96E-18 0.00E+00 0.00E+00
 1903.0 5.50E-18 2.75E-18 2.75E-18 0.00E+00 0.00E+00
 1904.0 1.01E-17 5.05E-18 5.05E-18 0.00E+00 0.00E+00
 1905.0 8.69E-18 4.35E-18 4.35E-18 0.00E+00 0.00E+00
 1906.0 7.21E-18 3.60E-18 3.60E-18 0.00E+00 0.00E+00
 1907.0 5.77E-18 2.89E-18 2.89E-18 0.00E+00 0.00E+00
 1908.0 5.21E-18 2.61E-18 2.61E-18 0.00E+00 0.00E+00
 1909.0 4.07E-18 2.03E-18 2.03E-18 0.00E+00 0.00E+00
 1910.0 5.70E-18 2.85E-18 2.85E-18 0.00E+00 0.00E+00
 1911.0 4.54E-18 2.27E-18 2.27E-18 0.00E+00 0.00E+00
 1912.0 3.26E-18 1.63E-18 1.63E-18 0.00E+00 0.00E+00
 1913.0 5.09E-18 2.54E-18 2.54E-18 0.00E+00 0.00E+00
 1914.0 6.59E-18 3.30E-18 3.30E-18 0.00E+00 0.00E+00
 1915.0 8.36E-18 4.18E-18 4.18E-18 0.00E+00 0.00E+00
 1916.0 9.65E-18 4.83E-18 4.83E-18 0.00E+00 0.00E+00
 1917.0 6.82E-18 3.41E-18 3.41E-18 0.00E+00 0.00E+00
 1918.0 4.60E-18 2.30E-18 2.30E-18 0.00E+00 0.00E+00
