 Lambda  Total   C+SO     O+CS     CO+S     S+CO     CS+O     COS+     CO/S1S   CS/O     CO/S1D   CS/O1D   CO/S    
 1168.0 1.75E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.80E-18 0.00E+00 0.00E+00 8.40E-18 6.30E-18
 1171.0 2.35E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.85E-18 0.00E+00 0.00E+00 1.20E-17 7.67E-18
 1172.0 1.35E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.23E-18 0.00E+00 0.00E+00 7.02E-18 4.25E-18
 1180.0 1.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.15E-18 0.00E+00 0.00E+00 1.08E-17 4.05E-18
 1185.0 1.35E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.45E-18 0.00E+00 0.00E+00 8.77E-18 2.28E-18
 1190.0 2.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.13E-18 0.00E+00 0.00E+00 1.54E-17 2.47E-18
 1192.0 1.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.23E-18 0.00E+00 0.00E+00 1.22E-17 1.53E-18
 1200.0 3.15E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.30E-18 0.00E+00 0.00E+00 2.52E-17 0.00E+00
 1207.0 1.65E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.18E-18 0.00E+00 0.00E+00 1.33E-17 0.00E+00
 1210.0 2.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.75E-18 0.00E+00 0.00E+00 2.03E-17 0.00E+00
 1214.0 7.50E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.40E-18 0.00E+00 0.00E+00 6.11E-18 0.00E+00
 1220.0 1.30E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.34E-18 0.00E+00 0.00E+00 1.07E-17 0.00E+00
 1230.0 1.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.89E-18 0.00E+00 0.00E+00 1.41E-17 0.00E+00
